json_id,category,question,answer_schema
1,math,"What is 2+2? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
2,science,"What is the water? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
3,history,"Who was the first president of the United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
4,geography,"What is the capital of France? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
5,literature,"Who wrote Romeo and Juliet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
6,math,"What is 3+3? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
7,science,"What is CO2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
8,history,"Who was second president of United States? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
9,geography,"What is the capital of Germany? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
10,literature,"Who wrote Hamlet? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
11,math,"What is 4+4? Answer only in json with the following format: {""answer"": number}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""number""}}, ""required"": [""answer""]}"
12,science,"What is N2? Answer only in json with the following format: {""answer"": string}","{""type"": ""object"", ""properties"": {""answer"": {""type"": ""string""}}, ""required"": [""answer""]}"
